subid,IDS1,ADS1,IDS2,ADS2,ADS3,IDS3,IDS4,ADS4,ADS5,IDS5,ADS6,IDS6,IDS7,ADS7,ADS8,IDS8
1,14.049,14.281,13.379,13.161,11.846,7.999,10.914,11.231,15.68,5.965,2.533,4.866,4.349,10.413,5.449,12.063
4,4.55,4.45,3.133,3.866,3.65,3.133,1.616,1.433,13.982,5.766,1.716,4.332,11.35,4.55,2.85,3.132
5,18,14.766,10.432,15.681,16.381,8.383,16.981,11.931,4.449,8.299,3.349,2.633,3.95,6.382,3.333,12.348
6,17.516,18,17.699,15.966,15.482,15.665,17.415,21.665,17.6,17.116,15.197,16.6,15.082,17.399,17.716,17.916
7,4.25,6.983,2.516,14.364,5.883,2.75,9.43,5.482,5.382,11.015,5.565,2.316,5.05,11.066,4.065,4.866
8,11.949,3.65,5.266,3.45,2.616,3.65,1.716,16.416,5.566,5.25,3.133,2.316,6.583,5.866,1.116,14.266
9,15.899,17.933,10.332,17.032,7.082,14.165,1.416,4.982,7.697,7.699,2.833,6.866,1.516,13.882,5.582,5.583
10,12.249,13.215,2.016,4.765,7.3,0,14.265,4.316,1.916,13.663,1.516,13.282,5.366,6.383,3.849,2.833
12,14.283,3.966,6.583,8.898,17.114,16.549,17.649,9.832,15.815,15.882,16.498,7.181,35.332,14.782,3.65,24.399
14,15.666,16.115,17.916,15.914,12.549,16.598,5.282,15.115,11.249,3.549,9.099,8.316,6.883,18.832,4.749,11.933
16,1.316,2.316,4.783,7.199,1.633,2.233,5.565,17.965,3.933,3.649,0.2,1.316,1.516,1.316,5.966,7.799
