subid,ADS5,IDS5,IDS7,ADS7,IDS1,ADS1,IDS3,ADS3,IDS2,ADS2,ADS4,IDS4,ADS6,IDS6,ADS8,IDS8
s17,11.58,11.9,15.01,9.47,14.63,4.61,8.54,2.6,3.9,4,4.18,3.84,7.29,1.56,4.78,2.3
s18,2.91,2.37,1.49,3.19,9.16,2.31,8.79,3.69,4.93,2.18,5.96,4.06,0.1,1.47,1.75,2.06
s19,6.16,5.51,4.09,6.51,17.67,12.4,14.42,12.95,16.01,6.66,3.45,2.04,5.85,1.99,3.32,8.4
s20,1.92,4.42,2.17,11.85,0.62,3.07,9.32,3.71,1.29,2.63,3.53,13.69,5.09,1.79,9.12,4.66
s34,0.82,1.95,3.22,1.44,0.07,6.09,1.34,0.8,4.64,1.95,0.22,2.51,0.97,2.31,2.63,1.99
s37,4.28,2.3,1.76,8.6,7.86,8.96,5.68,6.25,6.33,7.04,3.62,3.09,1.98,0.77,4.98,1.82
s41,3.5,3.62,4.03,9.47,9.25,9.08,2.73,4.39,6.02,5.39,4.14,3.2,2.37,10.29,2.22,5.39
s45,5.11,3.62,1.86,3.23,1.95,2.92,2.77,2.18,3.19,2.15,2.8,0.02,2.63,1.52,1.45,5.51
s47,0.21,2.22,0.77,1.57,2.74,0.8,1.33,2.29,2.68,0.65,1.17,0.55,0.13,0.95,0.87,0.35
s49,2.45,3.52,0.44,0.4,2.46,2.55,2.39,0.5,2.21,2.09,1.14,2.55,0.3,7.78,0.11,1.3
